shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0,40.749114,-73.988273,0,0
0,40.747609531294,-73.98938738623,1,0.11919115
0,40.745953428053,-73.990544878296,2,0.24866188
0,40.744652691968,-73.991536875641,3,0.35245222
0,40.743303108639,-73.992516317444,4,0.45886036
0,40.7429,-73.992805,5,0.49054666
0,40.742912,-73.992797,6,0.49147746
0,40.742373088497,-73.993207493393,7,0.5344664
0,40.739914186254,-73.994975306885,8,0.72792118
0,40.738889921445,-73.995715596573,9,0.80860384
0,40.737975823747,-73.996414320099,10,0.88158655
0,40.737354,-73.996849,11,0.93020268
0,40.737361,-73.996841,13,0.93084345
0,40.736202622701,-73.997659249985,14,1.02161832
0,40.735126148858,-73.99848045369,15,1.10752335
0,40.734544587943,-73.99889425264,16,1.15317122
0,40.734359599612,-73.999038114086,17,1.16800601
0,40.734249,-73.999107,18,1.17645581
0,40.734096041009,-73.999482476196,20,1.19877373
0,40.733917817063,-74.00069030423,21,1.26319463
0,40.733818495684,-74.001435347221,22,1.30279883
0,40.733714009819,-74.002191152115,23,1.34302059
0,40.733615,-74.002822,24,1.37674839
0,40.73336,-74.004241,25,1.45309802
0,40.733139,-74.005828,26,1.53757419
0,40.733055,-74.006408,27,1.56848884
0,40.732933,-74.007072,28,1.60425889
0,40.73308746747,-74.007129667494,29,1.6153499
0,40.732852,-74.008970392868,30,1.71308195
0,40.732693389721,-74.01010167263,31,1.77331391
0,40.732595830783,-74.010796364765,32,1.81030309
0,40.732538921336,-74.012307789545,33,1.88952967
0,40.732538921336,-74.013819214325,34,1.96865864
0,40.732356404521,-74.026992769806,35,2.65846195
0,40.732338971466,-74.028620501297,36,2.74368881
0,40.732519468235,-74.029181869003,37,2.7756149
0,40.732688786023,-74.029480413986,38,2.79513762
0,40.733053091233,-74.029469365051,39,2.82031404
0,40.733844273609,-74.02941658728,40,2.87504662
0,40.735022048948,-74.029384657394,41,2.95643629
0,40.735359248297,-74.029411608459,42,2.979776
0,40.735643782982,-74.029400879623,43,2.99944256
0,40.735858,-74.02922,44,3.01701283
0,40.73572242756,-74.029348296959,46,3.02853876
0,40.735586854844,-74.029390763229,47,3.03816579
0,40.735249760075,-74.029387068787,48,3.06145641
0,40.733534287751,-74.029407914017,49,3.1799834
0,40.732958046165,-74.029483048935,50,3.21998979
0,40.732722356588,-74.029502417969,51,3.23630527
0,40.732516518203,-74.029641026428,52,3.2522711
0,40.732339199141,-74.029888109756,53,3.27008739
0,40.732243050149,-74.030093820068,54,3.28274108
0,40.732201210325,-74.030670797562,55,3.3130862
0,40.732006486851,-74.031624637543,56,3.36480424
0,40.731798908521,-74.032016545284,57,3.38983777
0,40.73152628919,-74.032365537682,58,3.41607906
0,40.731123587311,-74.032735987751,59,3.44999456
0,40.7307046227,-74.032956234116,60,3.48115305
0,40.729896276221,-74.033286692451,61,3.53962024
0,40.729264450602,-74.033457286038,62,3.58417743
0,40.728460711967,-74.033596227011,63,3.64018215
0,40.727022779971,-74.033831727509,64,3.74029113
0,40.726957735152,-74.033853185181,65,3.74492341
0,40.726446935256,-74.033904642853,66,3.78031727
0,40.725837224379,-74.034018100525,67,3.822859
0,40.725192076194,-74.034152532402,68,3.86798465
0,40.724265206351,-74.034341990074,69,3.93278586
0,40.723556074991,-74.034461869698,70,3.98218018
0,40.722921860138,-74.03457050528,71,4.02636575
0,40.721937818752,-74.034758869698,72,4.09506492
0,40.721129925323,-74.034866191124,73,4.15116446
0,40.720020231466,-74.035115750649,74,4.22893891
0,40.719156736781,-74.03525538623,75,4.28904414
0,40.718494015492,-74.035377479485,76,4.33527575
0,40.717788004038,-74.03555167889,77,4.38489974
0,40.717717195823,-74.035568936599,78,4.38987499
0,40.71764232166,-74.035631791862,79,4.39600626
0,40.717563725967,-74.035872837374,80,4.40974724
0,40.71754713485,-74.036049509871,81,4.41906946
0,40.717548840181,-74.036228864576,82,4.42846233
0,40.717559185502,-74.036387432162,83,4.43679667
0,40.717616288386,-74.036688156825,84,4.45303091
0,40.717748790406,-74.037125991402,85,4.47771845
0,40.717911424834,-74.037624882278,86,4.50615709
0,40.718288119192,-74.038763262566,87,4.57120234
0,40.718732591583,-74.040144005943,88,4.649756
0,40.719178394675,-74.041478041664,89,4.72610106
0,40.719496248755,-74.042529869381,90,4.78539586
0,40.719635208538,-74.042465898148,91,4.79556427
0,40.719643340038,-74.042465898148,92,4.79612387
0,40.719500868483,-74.042603219574,93,4.80831412
0,40.720358891316,-74.045323847885,94,4.96261831
0,40.720757445062,-74.04663735582,95,5.03670525
0,40.721066373677,-74.047581816147,96,5.09056934
0,40.721352192974,-74.048406428589,97,5.13804969
0,40.721718144561,-74.049577378326,98,5.20437211
0,40.721944571471,-74.050344395523,99,5.24747405
0,40.72207355878,-74.051131648163,100,5.28964863
0,40.722343087319,-74.052003445786,101,5.33894985
0,40.722677830594,-74.053157277802,102,5.40364186
0,40.722916549002,-74.053750447113,103,5.43880864
0,40.723392271158,-74.054385600555,104,5.48556694
0,40.724159284557,-74.055302431244,105,5.55707099
0,40.724623962188,-74.05572121167,106,5.59594925
0,40.725664738473,-74.056394076752,107,5.67602342
0,40.726294875362,-74.056513025162,108,5.72000277
0,40.726950783661,-74.056949244736,109,5.77074982
0,40.727874041974,-74.057978921982,110,5.85426854
0,40.728628913692,-74.058836584686,111,5.92309073
0,40.72945417953,-74.05970780426,112,5.9961089
0,40.730354073776,-74.060789586014,113,6.08021243
0,40.731188903129,-74.061807636276,114,6.15874727
